timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z
1758876156.7144508,-0.53662109375,-0.83154296875,1.1865234375,173.27880859375,-4.5166015625,1.953125,-8.2891845703125,40.968017578125,-5.73486328125
1758876156.7241893,-0.57080078125,0.1142578125,0.7587890625,-5.9814453125,-17.822265625,3.23486328125,-7.4981689453125,40.869140625,-5.855712890625
1758876156.7340086,-0.57080078125,0.1142578125,0.7587890625,-5.9814453125,-17.822265625,3.23486328125,-7.5750732421875,40.704345703125,-5.9381103515625
1758876156.7596824,-0.68212890625,0.23046875,1.123046875,-86.9140625,-13.671875,2.8076171875,-8.0419921875,40.5560302734375,-6.0150146484375
1758876156.7666674,-0.68212890625,0.23046875,1.123046875,-86.9140625,-13.671875,2.8076171875,-8.887939453125,40.4241943359375,-6.0699462890625
1758876156.773784,-0.515625,-0.03125,0.3134765625,-42.17529296875,-12.51220703125,6.53076171875,-9.481201171875,40.2923583984375,-6.0809326171875
1758876156.7811084,-0.515625,-0.03125,0.3134765625,-42.17529296875,-12.51220703125,6.53076171875,-9.832763671875,40.177001953125,-6.0699462890625
1758876156.788197,-0.63427734375,-0.2822265625,0.79833984375,62.80517578125,-11.04736328125,-1.15966796875,-9.6844482421875,40.0726318359375,-6.119384765625
1758876156.7949364,-0.63427734375,-0.2822265625,0.79833984375,62.80517578125,-11.04736328125,-1.15966796875,-9.063720703125,39.9627685546875,-6.21826171875
1758876156.8037689,-0.45947265625,-0.32861328125,0.17919921875,65.24658203125,0.1220703125,-4.39453125,-8.45947265625,39.913330078125,-6.3665771484375
1758876156.8138576,-0.45947265625,-0.32861328125,0.17919921875,65.24658203125,0.1220703125,-4.39453125,-7.877197265625,39.9188232421875,-6.558837890625
1758876156.823814,-0.86328125,-0.25048828125,1.4228515625,76.72119140625,-7.8125,-13.3056640625,-7.2784423828125,39.891357421875,-6.8115234375
1758876156.8338172,-0.86328125,-0.25048828125,1.4228515625,76.72119140625,-7.8125,-13.3056640625,-6.65771484375,39.803466796875,-7.108154296875
1758876156.84375,-0.6962890625,-0.17431640625,1.07568359375,20.5078125,-2.74658203125,-7.14111328125,-6.3006591796875,39.7430419921875,-7.36083984375
