filename Fx Fy Fz Ft Fn
119.jpg 0.20 1.30 29.00 1.32 29.00
120.jpg 0.00 1.20 29.20 1.20 29.20
121.jpg -0.30 1.70 29.60 1.73 29.60
122.jpg -0.10 1.70 29.70 1.70 29.70
123.jpg -0.40 1.70 29.50 1.75 29.50
124.jpg -0.30 1.50 29.40 1.53 29.40
125.jpg -0.50 1.20 29.50 1.30 29.50
126.jpg -0.60 0.60 29.20 0.85 29.20
127.jpg -0.70 0.20 28.30 0.73 28.30
128.jpg -0.70 -0.80 27.30 1.06 27.30
129.jpg -0.90 -1.20 26.40 1.50 26.40
130.jpg -0.70 -2.20 25.10 2.31 25.10
131.jpg -0.70 -2.50 24.20 2.60 24.20
132.jpg -0.50 -3.20 23.60 3.24 23.60
133.jpg -0.20 -3.60 22.10 3.61 22.10
134.jpg -0.10 -3.80 19.10 3.80 19.10
135.jpg -0.70 -5.00 22.60 5.05 22.60
136.jpg -0.60 -4.40 26.10 4.44 26.10
137.jpg -0.30 -4.60 27.70 4.61 27.70
138.jpg -0.60 -4.40 29.30 4.44 29.30
139.jpg -0.30 -4.60 29.90 4.61 29.90
140.jpg -0.40 -4.30 30.20 4.32 30.20
141.jpg -0.50 -4.40 30.40 4.43 30.40
142.jpg -0.60 -4.40 30.30 4.44 30.30
143.jpg -0.60 -3.90 30.60 3.95 30.60
144.jpg -0.60 -3.60 30.30 3.65 30.30
145.jpg -0.50 -2.80 30.10 2.84 30.10
146.jpg -0.70 -2.30 29.60 2.40 29.60
147.jpg -0.60 -2.10 28.90 2.18 28.90
148.jpg -0.90 -2.00 27.80 2.19 27.80
149.jpg -0.90 -1.90 27.00 2.10 27.00
150.jpg -0.90 -2.00 26.10 2.19 26.10
151.jpg -0.80 -1.80 25.00 1.97 25.00
152.jpg -0.90 -1.90 24.00 2.10 24.00
153.jpg -1.10 -1.50 23.30 1.86 23.30
154.jpg -0.60 -0.90 21.10 1.08 21.10
155.jpg 0.70 1.40 29.00 1.57 29.00
156.jpg 0.50 1.00 29.40 1.12 29.40
157.jpg 0.30 1.00 30.50 1.04 30.50
158.jpg -0.10 1.10 31.40 1.10 31.40
159.jpg -0.30 1.30 32.10 1.33 32.10
160.jpg -0.30 1.10 31.50 1.14 31.50
161.jpg -0.30 1.40 30.70 1.43 30.70
162.jpg -0.20 1.40 30.70 1.41 30.70
163.jpg -0.60 1.60 30.30 1.71 30.30
164.jpg -0.60 1.00 29.50 1.17 29.50
165.jpg -0.70 0.50 28.80 0.86 28.80
166.jpg -1.20 0.20 28.20 1.22 28.20
167.jpg -1.00 0.00 27.60 1.00 27.60
168.jpg -1.20 -0.60 27.70 1.34 27.70
169.jpg -1.30 -0.90 26.60 1.58 26.60
170.jpg -1.10 -1.30 25.20 1.70 25.20
171.jpg -0.70 -1.40 23.80 1.57 23.80
172.jpg -0.90 -1.40 23.10 1.66 23.10
173.jpg -0.80 -1.50 22.40 1.70 22.40
174.jpg -0.80 -1.70 22.10 1.88 22.10
175.jpg 0.20 -4.10 34.50 4.10 34.50
176.jpg 0.10 -4.20 34.00 4.20 34.00
177.jpg 0.00 -4.70 33.70 4.70 33.70
178.jpg 0.00 -4.40 34.00 4.40 34.00
179.jpg 0.00 -4.50 33.90 4.50 33.90
180.jpg 0.30 -3.80 33.40 3.81 33.40
181.jpg 0.10 -3.20 33.10 3.20 33.10
182.jpg 0.10 -2.60 31.50 2.60 31.50
183.jpg -0.40 -2.10 31.00 2.14 31.00
184.jpg -0.40 -1.60 30.10 1.65 30.10
185.jpg 0.00 -1.50 29.70 1.50 29.70
186.jpg -0.70 -1.10 27.30 1.30 27.30
187.jpg -0.50 -1.40 24.60 1.49 24.60
188.jpg -0.40 -1.70 21.40 1.75 21.40
189.jpg 0.30 0.70 11.00 0.76 11.00
190.jpg 0.10 0.40 10.40 0.41 10.40
191.jpg -0.10 0.70 11.50 0.71 11.50
192.jpg -0.20 1.00 12.20 1.02 12.20
193.jpg -0.30 1.10 11.50 1.14 11.50
194.jpg -0.20 0.70 11.20 0.73 11.20
195.jpg 0.00 0.60 10.90 0.60 10.90
196.jpg -0.20 0.60 10.60 0.63 10.60
197.jpg -0.30 0.70 10.50 0.76 10.50
198.jpg -0.50 0.50 10.70 0.71 10.70
199.jpg -0.40 0.30 10.70 0.50 10.70
200.jpg -0.40 0.20 10.50 0.45 10.50
201.jpg -0.50 0.10 10.20 0.51 10.20
202.jpg -0.40 0.20 10.00 0.45 10.00
203.jpg -0.20 0.00 10.00 0.20 10.00
204.jpg -0.40 -0.10 9.70 0.41 9.70
205.jpg -0.40 0.00 9.60 0.40 9.60
206.jpg -0.40 -0.10 9.40 0.41 9.40
207.jpg -0.40 -0.20 9.30 0.45 9.30
208.jpg -0.40 -0.10 9.10 0.41 9.10
209.jpg -0.30 0.00 9.00 0.30 9.00
210.jpg -0.50 -0.10 8.70 0.51 8.70
211.jpg -0.30 -0.50 8.40 0.58 8.40
212.jpg -0.40 -0.50 8.20 0.64 8.20
213.jpg 0.70 0.60 13.60 0.92 13.60
214.jpg 0.60 0.30 14.60 0.67 14.60
215.jpg 0.60 0.40 15.00 0.72 15.00
216.jpg 0.50 0.40 15.60 0.64 15.60
217.jpg 0.60 0.40 16.00 0.72 16.00
218.jpg 0.40 0.50 16.30 0.64 16.30
219.jpg 0.30 0.70 16.50 0.76 16.50
220.jpg 0.20 1.10 16.50 1.12 16.50
221.jpg 0.10 0.60 16.50 0.61 16.50
222.jpg 0.10 0.20 16.80 0.22 16.80
223.jpg 0.00 0.10 16.70 0.10 16.70
224.jpg -0.20 -0.10 16.30 0.22 16.30
225.jpg -0.30 -0.40 16.40 0.50 16.40
226.jpg -0.30 -0.60 16.50 0.67 16.50
227.jpg -0.30 -0.90 16.50 0.95 16.50
228.jpg -0.40 -1.00 16.60 1.08 16.60
229.jpg -0.50 -1.20 16.60 1.30 16.60
230.jpg -0.60 -1.20 16.00 1.34 16.00
231.jpg -0.60 -1.40 16.00 1.52 16.00
232.jpg -0.60 -1.60 15.90 1.71 15.90
233.jpg -0.60 -1.90 15.40 1.99 15.40
234.jpg -0.80 -1.70 13.80 1.88 13.80
235.jpg -0.70 -1.70 13.20 1.84 13.20
236.jpg -0.30 -0.90 10.00 0.95 10.00
237.jpg 0.70 0.40 15.90 0.81 15.90
238.jpg 0.80 0.40 15.60 0.89 15.60
239.jpg 0.80 0.40 16.00 0.89 16.00
240.jpg 1.10 0.60 17.10 1.25 17.10
241.jpg 1.00 0.30 17.50 1.04 17.50
242.jpg 0.90 0.20 17.70 0.92 17.70
243.jpg 0.70 0.40 17.80 0.81 17.80
244.jpg 0.60 0.40 17.80 0.72 17.80
245.jpg 0.40 0.10 17.60 0.41 17.60
246.jpg 0.50 -0.10 17.30 0.51 17.30
247.jpg 0.30 0.30 17.20 0.42 17.20
248.jpg 0.30 0.30 17.00 0.42 17.00
249.jpg 0.40 -0.40 17.50 0.57 17.50
250.jpg 0.10 -0.30 16.80 0.32 16.80
251.jpg 0.20 -0.70 15.30 0.73 15.30
252.jpg -0.30 -2.20 8.20 2.22 8.20
253.jpg -0.70 -2.60 16.50 2.69 16.50
254.jpg -0.60 -2.60 16.40 2.67 16.40
255.jpg -0.60 -2.70 16.20 2.77 16.20
256.jpg -0.50 -2.70 15.90 2.75 15.90
257.jpg -0.50 -2.40 15.80 2.45 15.80
258.jpg -0.40 -2.20 15.70 2.24 15.70
259.jpg -0.40 -1.60 15.70 1.65 15.70
260.jpg -0.30 -1.20 15.70 1.24 15.70
261.jpg -0.40 -1.00 15.80 1.08 15.80
262.jpg -0.30 -1.00 15.70 1.04 15.70
263.jpg -0.30 -1.20 15.50 1.24 15.50
264.jpg -0.10 -1.40 15.00 1.40 15.00
265.jpg -0.10 -1.30 14.80 1.30 14.80
266.jpg -0.10 -1.10 14.50 1.10 14.50
267.jpg -0.20 -1.20 14.00 1.22 14.00
268.jpg -0.10 -1.10 13.50 1.10 13.50
269.jpg 0.00 -1.10 11.70 1.10 11.70
270.jpg -0.10 -0.80 10.10 0.81 10.10
271.jpg -0.20 -0.50 9.80 0.54 9.80
272.jpg -0.10 -0.40 14.60 0.41 14.60
273.jpg 0.10 -0.30 15.10 0.32 15.10
274.jpg 0.00 0.10 15.50 0.10 15.50
275.jpg 0.10 0.50 15.50 0.51 15.50
276.jpg 0.20 0.50 15.90 0.54 15.90
277.jpg 0.20 0.80 15.80 0.82 15.80
278.jpg 0.30 0.70 15.70 0.76 15.70
279.jpg 0.20 0.90 15.80 0.92 15.80
280.jpg 0.10 0.60 15.80 0.61 15.80
281.jpg 0.10 0.40 15.70 0.41 15.70
282.jpg 0.10 0.10 15.80 0.14 15.80
283.jpg -0.60 0.50 17.70 0.78 17.70
284.jpg -0.80 0.50 17.90 0.94 17.90
285.jpg -1.10 0.50 17.10 1.21 17.10
286.jpg -1.10 0.80 17.70 1.36 17.70
287.jpg -1.00 0.60 18.30 1.17 18.30
288.jpg -1.00 0.20 19.40 1.02 19.40
289.jpg -0.80 0.40 20.00 0.89 20.00
290.jpg -1.00 0.30 20.20 1.04 20.20
291.jpg -1.20 0.10 20.20 1.20 20.20
292.jpg -1.30 -0.30 21.10 1.33 21.10
293.jpg -1.30 -0.20 20.70 1.32 20.70
294.jpg -1.40 -0.20 20.40 1.41 20.40
295.jpg -1.50 0.00 20.20 1.50 20.20
296.jpg -1.60 -0.20 19.50 1.61 19.50
297.jpg -1.80 0.10 18.60 1.80 18.60
298.jpg -1.60 -1.60 16.60 2.26 16.60
299.jpg -1.30 -2.30 14.10 2.64 14.10
300.jpg -1.10 -2.20 13.60 2.46 13.60
301.jpg -1.10 -2.20 13.70 2.46 13.70
302.jpg -1.00 -2.30 13.90 2.51 13.90
303.jpg -1.10 -2.20 14.00 2.46 14.00
304.jpg -0.70 -2.10 19.10 2.21 19.10
305.jpg -0.70 -1.90 19.70 2.02 19.70
306.jpg -0.60 -2.20 19.90 2.28 19.90
307.jpg -0.50 -2.10 20.10 2.16 20.10
308.jpg -0.50 -2.20 20.40 2.26 20.40
309.jpg -0.50 -1.90 20.20 1.96 20.20
310.jpg -0.60 -1.60 19.60 1.71 19.60
311.jpg -0.50 -1.80 19.70 1.87 19.70
312.jpg -0.30 -2.00 19.10 2.02 19.10
313.jpg -0.10 -1.50 18.60 1.50 18.60
314.jpg -0.40 -1.20 18.20 1.26 18.20
315.jpg -0.40 -0.40 16.90 0.57 16.90
316.jpg -0.80 -0.20 15.70 0.82 15.70
317.jpg -0.70 0.20 13.90 0.73 13.90
318.jpg -0.60 0.50 14.10 0.78 14.10
319.jpg -0.40 0.50 14.10 0.64 14.10
320.jpg -0.40 0.80 14.60 0.89 14.60
321.jpg -0.40 1.00 14.50 1.08 14.50
322.jpg -0.20 1.20 14.80 1.22 14.80
323.jpg -0.20 1.30 15.30 1.32 15.30
324.jpg -0.20 1.60 16.70 1.61 16.70
325.jpg 0.00 1.20 17.90 1.20 17.90
326.jpg -0.30 0.80 19.30 0.85 19.30
327.jpg -0.20 0.50 20.20 0.54 20.20
328.jpg -0.30 0.60 21.00 0.67 21.00
329.jpg -0.40 0.80 21.10 0.89 21.10
330.jpg -0.60 0.00 20.90 0.60 20.90
331.jpg -0.50 -0.40 21.10 0.64 21.10
332.jpg -0.60 -0.20 20.40 0.63 20.40
333.jpg -0.70 -0.40 20.40 0.81 20.40
334.jpg -0.70 -0.60 19.90 0.92 19.90
335.jpg -0.90 -0.60 19.60 1.08 19.60
336.jpg -0.90 -0.60 19.00 1.08 19.00
337.jpg -1.00 -0.60 18.50 1.17 18.50
338.jpg -0.90 -1.40 17.60 1.66 17.60
339.jpg -0.60 -1.90 16.90 1.99 16.90
340.jpg -0.40 -1.70 16.60 1.75 16.60
341.jpg -0.70 -3.20 18.80 3.28 18.80
342.jpg -1.00 -2.30 21.10 2.51 21.10
343.jpg -1.10 -2.60 22.80 2.82 22.80
344.jpg -0.60 -3.20 23.80 3.26 23.80
345.jpg -0.70 -3.20 23.60 3.28 23.60
346.jpg -0.30 -2.80 23.40 2.82 23.40
347.jpg -0.60 -2.30 23.00 2.38 23.00
348.jpg -0.60 -2.20 22.50 2.28 22.50
349.jpg -0.50 -2.40 22.10 2.45 22.10
350.jpg -0.70 -2.20 21.00 2.31 21.00
351.jpg -0.70 -1.90 20.50 2.02 20.50
352.jpg -0.60 -1.80 19.60 1.90 19.60
353.jpg -0.80 -0.90 19.50 1.20 19.50
354.jpg -0.60 -0.50 18.40 0.78 18.40
355.jpg -0.70 -0.70 17.70 0.99 17.70
356.jpg -0.70 -0.40 15.80 0.81 15.80
357.jpg -0.20 0.20 15.70 0.28 15.70
358.jpg -0.10 0.40 16.00 0.41 16.00
359.jpg -0.20 0.60 16.10 0.63 16.10
360.jpg -0.10 0.60 16.00 0.61 16.00
361.jpg 0.20 1.30 21.90 1.32 21.90
362.jpg 0.20 0.90 22.20 0.92 22.20
363.jpg 0.20 0.70 22.50 0.73 22.50
364.jpg -0.10 1.00 22.60 1.00 22.60
365.jpg -0.10 0.90 22.60 0.91 22.60
366.jpg -0.40 0.70 22.20 0.81 22.20
367.jpg -0.60 0.50 21.60 0.78 21.60
368.jpg -0.70 0.20 21.30 0.73 21.30
369.jpg -0.90 0.30 21.10 0.95 21.10
370.jpg -0.70 0.10 20.70 0.71 20.70
371.jpg -0.90 0.30 19.50 0.95 19.50
372.jpg -0.60 -0.60 19.00 0.85 19.00
373.jpg -0.40 -1.90 17.80 1.94 17.80
374.jpg -0.30 -3.00 15.80 3.01 15.80
375.jpg -0.20 -2.70 14.50 2.71 14.50
376.jpg -0.20 -2.80 14.40 2.81 14.40
377.jpg -0.20 -2.70 14.20 2.71 14.20
378.jpg -0.20 -2.60 14.00 2.61 14.00
379.jpg -0.20 -2.50 14.00 2.51 14.00
380.jpg -0.10 -2.50 11.00 2.50 11.00
381.jpg -0.70 2.80 23.60 2.89 23.60
382.jpg -0.70 1.50 24.80 1.66 24.80
383.jpg -0.90 2.00 25.00 2.19 25.00
384.jpg -1.10 1.00 24.90 1.49 24.90
385.jpg -1.10 0.50 24.90 1.21 24.90
386.jpg -1.30 0.50 25.30 1.39 25.30
387.jpg -1.30 0.70 25.10 1.48 25.10
388.jpg -1.30 1.00 24.90 1.64 24.90
389.jpg -1.70 0.70 24.80 1.84 24.80
390.jpg -1.90 0.40 25.00 1.94 25.00
391.jpg -1.80 0.10 24.90 1.80 24.90
392.jpg -1.90 -0.10 24.40 1.90 24.40
393.jpg -2.00 -0.10 23.80 2.00 23.80
394.jpg -2.00 0.10 23.20 2.00 23.20
395.jpg -2.10 -0.20 22.90 2.11 22.90
396.jpg -1.90 -0.90 22.60 2.10 22.60
397.jpg -1.90 -1.10 22.00 2.20 22.00
398.jpg -1.80 -1.60 20.70 2.41 20.70
399.jpg -1.90 -1.30 15.60 2.30 15.60
400.jpg -1.20 -0.60 11.70 1.34 11.70
401.jpg -0.80 0.10 7.20 0.81 7.20
402.jpg -0.40 0.70 -0.10 0.81 -0.10
403.jpg 0.10 1.30 20.90 1.30 20.90
404.jpg -0.30 1.40 22.10 1.43 22.10
405.jpg -0.10 1.80 23.20 1.80 23.20
406.jpg -0.10 1.40 23.40 1.40 23.40
407.jpg -0.20 1.40 23.30 1.41 23.30
408.jpg -0.30 1.50 23.70 1.53 23.70
409.jpg -0.10 1.20 23.60 1.20 23.60
410.jpg -0.40 1.20 23.40 1.26 23.40
411.jpg -0.60 0.40 23.10 0.72 23.10
412.jpg -0.60 -0.20 23.00 0.63 23.00
413.jpg -0.90 -0.30 22.00 0.95 22.00
414.jpg -0.70 -0.60 21.90 0.92 21.90
415.jpg -0.70 -0.70 21.40 0.99 21.40
416.jpg -0.80 -1.00 20.80 1.28 20.80
417.jpg -0.90 -0.90 20.40 1.27 20.40
418.jpg -0.90 -0.80 19.20 1.20 19.20
419.jpg -0.80 -0.70 17.60 1.06 17.60
420.jpg -0.80 -0.50 15.60 0.94 15.60
421.jpg -0.30 -0.20 11.00 0.36 11.00
422.jpg -0.80 0.90 16.00 1.20 16.00
423.jpg -0.70 0.80 16.00 1.06 16.00
424.jpg -0.80 0.90 15.90 1.20 15.90
425.jpg -0.80 0.70 16.10 1.06 16.10
426.jpg -0.70 0.40 16.10 0.81 16.10
427.jpg -0.70 0.40 16.10 0.81 16.10
428.jpg -0.80 0.40 16.20 0.89 16.20
429.jpg -1.00 0.50 16.20 1.12 16.20
430.jpg -0.90 0.30 15.90 0.95 15.90
431.jpg -1.00 0.10 15.80 1.00 15.80
432.jpg -1.10 0.10 15.60 1.10 15.60
433.jpg -1.10 -0.20 15.50 1.12 15.50
434.jpg -1.00 -0.10 15.40 1.00 15.40
435.jpg -1.00 -0.20 15.10 1.02 15.10
436.jpg -1.00 -0.60 15.10 1.17 15.10
437.jpg -1.20 -0.60 14.40 1.34 14.40
438.jpg -1.10 -0.60 14.10 1.25 14.10
439.jpg -1.00 -0.90 13.60 1.35 13.60
440.jpg -0.90 -1.20 12.60 1.50 12.60
441.jpg -1.10 -1.90 14.10 2.20 14.10
442.jpg -1.20 -2.20 15.20 2.51 15.20
443.jpg -1.20 -2.00 15.80 2.33 15.80
444.jpg -1.20 -1.80 15.90 2.16 15.90
445.jpg -0.80 -1.50 16.50 1.70 16.50
446.jpg -0.80 -1.30 16.50 1.53 16.50
447.jpg -0.70 -1.00 16.40 1.22 16.40
448.jpg -0.60 -1.00 16.40 1.17 16.40
449.jpg -0.70 -1.10 16.30 1.30 16.30
450.jpg -0.50 -1.40 16.20 1.49 16.20
451.jpg -0.60 -1.20 15.90 1.34 15.90
452.jpg -0.50 -1.20 15.80 1.30 15.80
453.jpg -0.50 -1.00 15.40 1.12 15.40
454.jpg -0.50 -0.70 15.10 0.86 15.10
455.jpg -0.40 -0.50 14.80 0.64 14.80
456.jpg -0.30 -0.50 14.60 0.58 14.60
457.jpg -0.30 -0.50 14.30 0.58 14.30
458.jpg -0.30 -0.50 13.60 0.58 13.60
459.jpg -0.20 -0.30 13.80 0.36 13.80
460.jpg -0.30 -0.20 14.30 0.36 14.30
461.jpg 0.90 1.30 22.20 1.58 22.20
462.jpg 0.80 1.30 21.70 1.53 21.70
463.jpg 0.70 1.80 21.50 1.93 21.50
464.jpg 0.50 1.10 21.30 1.21 21.30
465.jpg 0.60 1.10 20.60 1.25 20.60
466.jpg 0.30 1.20 20.10 1.24 20.10
467.jpg 0.20 1.20 19.70 1.22 19.70
468.jpg 0.10 0.90 19.40 0.91 19.40
469.jpg 0.00 1.10 19.30 1.10 19.30
470.jpg -0.30 1.10 19.20 1.14 19.20
471.jpg -0.30 1.00 19.20 1.04 19.20
472.jpg -0.50 0.90 19.30 1.03 19.30
473.jpg -0.30 0.60 19.50 0.67 19.50
474.jpg -0.70 0.80 19.30 1.06 19.30
475.jpg -0.90 0.90 19.10 1.27 19.10
476.jpg -0.50 0.20 19.00 0.54 19.00
477.jpg -0.70 0.50 19.00 0.86 19.00
478.jpg -0.50 0.20 18.70 0.54 18.70
479.jpg -0.60 0.20 18.30 0.63 18.30
480.jpg -0.60 0.10 18.40 0.61 18.40
481.jpg -0.70 -0.20 18.40 0.73 18.40
482.jpg -0.60 -0.40 18.10 0.72 18.10
483.jpg -0.50 -0.50 17.30 0.71 17.30
484.jpg -0.60 -0.60 17.10 0.85 17.10
485.jpg -0.10 -1.10 15.70 1.10 15.70
486.jpg -0.20 -1.60 16.80 1.61 16.80
487.jpg -0.10 -1.80 17.20 1.80 17.20
488.jpg -0.60 -2.00 17.30 2.09 17.30
489.jpg -0.50 -2.10 17.70 2.16 17.70
490.jpg -0.50 -1.90 18.10 1.96 18.10
491.jpg -0.50 -1.70 18.20 1.77 18.20
492.jpg -0.30 -1.40 17.70 1.43 17.70
493.jpg -0.30 -1.50 16.90 1.53 16.90
494.jpg 0.00 -1.40 16.80 1.40 16.80
495.jpg 0.00 -1.40 16.60 1.40 16.60
496.jpg 0.10 -1.50 16.50 1.50 16.50
497.jpg 0.20 -1.60 16.20 1.61 16.20
498.jpg 0.20 -1.50 15.90 1.51 15.90
499.jpg 0.20 -1.60 15.50 1.61 15.50
500.jpg 0.20 -1.00 15.40 1.02 15.40
501.jpg 0.20 -0.80 15.50 0.82 15.50
502.jpg 0.30 -0.80 15.20 0.85 15.20
503.jpg 0.40 -0.80 14.90 0.89 14.90
504.jpg 0.30 -0.60 14.10 0.67 14.10
505.jpg 0.10 -0.50 13.10 0.51 13.10
506.jpg -0.30 -0.20 11.20 0.36 11.20
507.jpg -0.10 0.10 9.60 0.14 9.60
508.jpg -0.10 0.40 9.80 0.41 9.80
509.jpg 0.10 1.60 18.20 1.60 18.20
510.jpg 0.30 1.80 18.80 1.82 18.80
511.jpg -0.10 1.90 19.20 1.90 19.20
512.jpg -0.10 1.50 19.50 1.50 19.50
513.jpg -0.40 1.40 20.00 1.46 20.00
514.jpg -0.50 1.20 19.60 1.30 19.60
515.jpg -0.50 0.90 19.80 1.03 19.80
516.jpg -0.50 0.70 19.60 0.86 19.60
517.jpg -0.60 0.80 19.00 1.00 19.00
518.jpg -0.50 0.60 18.10 0.78 18.10
519.jpg -0.70 0.80 17.30 1.06 17.30
520.jpg -0.60 0.50 16.80 0.78 16.80
521.jpg -0.80 0.50 16.60 0.94 16.60
522.jpg -0.80 0.40 16.20 0.89 16.20
523.jpg -0.90 0.40 16.00 0.98 16.00
524.jpg -0.90 0.10 15.80 0.91 15.80
