frame_index,timestamp
0,1758182896.249818
1,1758182896.2886925
2,1758182896.3255794
3,1758182896.3613935
4,1758182896.3960786
5,1758182896.4327033
6,1758182896.4728782
7,1758182896.507266
8,1758182896.5526142
9,1758182896.5910535
10,1758182896.624085
11,1758182896.658183
12,1758182896.691696
13,1758182896.71588
14,1758182896.754115
15,1758182896.7864766
16,1758182896.8151395
17,1758182896.8432636
18,1758182896.8745382
19,1758182896.9049711
20,1758182896.931998
21,1758182896.963406
22,1758182896.9960957
23,1758182897.0302289
24,1758182897.0669312
25,1758182897.0909305
26,1758182897.1247609
27,1758182897.1597068
28,1758182897.1929393
29,1758182897.226668
30,1758182897.2596486
31,1758182897.292565
32,1758182897.3241355
33,1758182897.3581674
34,1758182897.390375
35,1758182897.4226983
36,1758182897.454874
37,1758182897.4833305
38,1758182897.515244
39,1758182897.5474136
40,1758182897.5834675
41,1758182897.6153674
42,1758182897.6474848
43,1758182897.6833835
44,1758182897.715138
45,1758182897.7474225
46,1758182897.7836244
47,1758182897.817016
48,1758182897.8509715
49,1758182897.88324
50,1758182897.9156916
51,1758182897.9514456
52,1758182897.9839003
53,1758182898.0165935
54,1758182898.0514133
55,1758182898.083496
56,1758182898.1152952
57,1758182898.1537013
58,1758182898.186979
59,1758182898.2237434
60,1758182898.2614803
61,1758182898.2865403
62,1758182898.3260913
63,1758182898.3636327
64,1758182898.403261
65,1758182898.437501
66,1758182898.4726162
67,1758182898.5079732
68,1758182898.546195
69,1758182898.5810428
70,1758182898.6147447
71,1758182898.6535347
72,1758182898.6868367
73,1758182898.71069
74,1758182898.7467842
75,1758182898.777141
76,1758182898.8133028
77,1758182898.84741
78,1758182898.8802345
79,1758182898.91768
80,1758182898.9504132
81,1758182898.9876513
82,1758182899.0241325
83,1758182899.0567577
84,1758182899.088357
85,1758182899.1156135
86,1758182899.1482334
87,1758182899.179955
88,1758182899.211249
89,1758182899.2473953
90,1758182899.287217
91,1758182899.3203433
92,1758182899.3577392
93,1758182899.3908966
94,1758182899.4251606
95,1758182899.462691
96,1758182899.4986148
97,1758182899.5227263
98,1758182899.5609508
99,1758182899.5922747
100,1758182899.6247983
101,1758182899.655304
102,1758182899.687339
103,1758182899.7188792
104,1758182899.7523026
105,1758182899.788609
106,1758182899.8250191
107,1758182899.8583286
108,1758182899.8959846
109,1758182899.9198909
110,1758182899.9538352
111,1758182899.9849646
112,1758182900.0168688
113,1758182900.0504768
114,1758182900.0852733
115,1758182900.118099
116,1758182900.151007
117,1758182900.1847637
118,1758182900.2181892
119,1758182900.250569
120,1758182900.2834172
121,1758182900.3073592
122,1758182900.3398173
123,1758182900.3713024
124,1758182900.4045308
125,1758182900.4369597
126,1758182900.469693
127,1758182900.5028436
128,1758182900.5361557
129,1758182900.569221
130,1758182900.6044672
131,1758182900.6407502
132,1758182900.6736646
133,1758182900.6979227
134,1758182900.7298877
135,1758182900.7608628
136,1758182900.79202
137,1758182900.824971
138,1758182900.8596518
139,1758182900.8946104
140,1758182900.9293814
141,1758182900.965265
142,1758182900.99874
143,1758182901.0309968
144,1758182901.0635808
145,1758182901.0876176
146,1758182901.120175
147,1758182901.1520314
148,1758182901.1836512
149,1758182901.2205467
150,1758182901.2517247
151,1758182901.2893963
152,1758182901.3196082
153,1758182901.3517025
154,1758182901.3841014
155,1758182901.4196703
156,1758182901.4516647
157,1758182901.4839277
158,1758182901.5211473
159,1758182901.5545378
160,1758182901.5874677
161,1758182901.6196733
162,1758182901.6520152
163,1758182901.6839955
164,1758182901.7196147
165,1758182901.751819
166,1758182901.7879171
167,1758182901.8197615
168,1758182901.851755
169,1758182901.8876004
170,1758182901.9195907
171,1758182901.9517426
172,1758182901.9875762
173,1758182902.0198941
174,1758182902.0518131
175,1758182902.0878475
176,1758182902.1197717
177,1758182902.1519818
178,1758182902.1905446
179,1758182902.2214773
180,1758182902.2520137
181,1758182902.290589
182,1758182902.3266172
183,1758182902.361266
184,1758182902.3931308
185,1758182902.4239583
186,1758182902.4557211
187,1758182902.4878118
188,1758182902.5198123
189,1758182902.5520747
190,1758182902.5877974
191,1758182902.6200316
192,1758182902.6518638
193,1758182902.6876996
194,1758182902.719835
195,1758182902.7519307
196,1758182902.787733
197,1758182902.8199484
198,1758182902.8527527
199,1758182902.8877995
200,1758182902.9217277
201,1758182902.9534557
202,1758182902.9880397
203,1758182903.020109
204,1758182903.0520885
205,1758182903.0878596
206,1758182903.1207855
207,1758182903.1526487
208,1758182903.187883
209,1758182903.2217734
210,1758182903.256033
211,1758182903.2903383
212,1758182903.323103
213,1758182903.3580916
214,1758182903.3933196
215,1758182903.424681
216,1758182903.4573696
217,1758182903.487968
218,1758182903.5208492
219,1758182903.5560188
220,1758182903.5917845
221,1758182903.6249352
222,1758182903.6588466
223,1758182903.6972394
224,1758182903.731168
225,1758182903.7688892
226,1758182903.8039784
227,1758182903.8398342
228,1758182903.8736153
229,1758182903.8976963
230,1758182903.9329
231,1758182903.9673915
232,1758182904.003104
233,1758182904.0359836
234,1758182904.0680583
235,1758182904.099022
236,1758182904.1333845
237,1758182904.16494
238,1758182904.196404
239,1758182904.2281945
240,1758182904.268481
241,1758182904.3055825
242,1758182904.3392396
243,1758182904.376032
244,1758182904.4107277
245,1758182904.4415793
246,1758182904.4723804
247,1758182904.5031834
248,1758182904.5381777
249,1758182904.5709748
250,1758182904.6028843
251,1758182904.6333027
252,1758182904.6596887
253,1758182904.6908376
254,1758182904.7240207
255,1758182904.7562897
256,1758182904.7883818
257,1758182904.8242416
258,1758182904.8561854
259,1758182904.8894987
260,1758182904.92418
261,1758182904.9563088
262,1758182904.989563
263,1758182905.0242174
264,1758182905.0569537
265,1758182905.0901484
266,1758182905.124062
267,1758182905.157457
268,1758182905.1883235
269,1758182905.2240949
270,1758182905.2561827
271,1758182905.2882965
272,1758182905.3241336
273,1758182905.3566916
274,1758182905.3885508
275,1758182905.424163
276,1758182905.456448
277,1758182905.4884944
278,1758182905.5241246
279,1758182905.557785
280,1758182905.592299
281,1758182905.6248581
282,1758182905.657604
283,1758182905.6900005
284,1758182905.7244592
285,1758182905.7567558
286,1758182905.7934768
287,1758182905.8251011
288,1758182905.8562875
289,1758182905.8932462
290,1758182905.9254746
291,1758182905.9563048
