frame_index,timestamp
0,1758180297.7534306
1,1758180297.8030128
2,1758180297.8360746
3,1758180297.8652136
4,1758180297.9011333
5,1758180297.932108
6,1758180297.9598424
7,1758180297.987102
8,1758180298.0171006
9,1758180298.0489075
10,1758180298.0853689
11,1758180298.1199837
12,1758180298.1492329
13,1758180298.1845803
14,1758180298.2183058
15,1758180298.2493036
16,1758180298.2842934
17,1758180298.317183
18,1758180298.3486638
19,1758180298.384878
20,1758180298.4212117
21,1758180298.451307
22,1758180298.4849896
23,1758180298.516967
24,1758180298.549064
25,1758180298.5850694
26,1758180298.6169014
27,1758180298.648993
28,1758180298.685032
29,1758180298.7171237
30,1758180298.7491572
31,1758180298.78528
32,1758180298.8177767
33,1758180298.8490043
34,1758180298.8849525
35,1758180298.9170408
36,1758180298.9534004
37,1758180298.9849377
38,1758180299.019514
39,1758180299.0528247
40,1758180299.0849938
41,1758180299.1181104
42,1758180299.1552098
43,1758180299.192533
44,1758180299.2208781
45,1758180299.252843
46,1758180299.285059
47,1758180299.319607
48,1758180299.3545797
49,1758180299.3852773
50,1758180299.417031
51,1758180299.453208
52,1758180299.4853973
53,1758180299.5172226
54,1758180299.5533242
55,1758180299.585239
56,1758180299.6172585
57,1758180299.6530895
58,1758180299.6853426
59,1758180299.7170615
60,1758180299.7532187
61,1758180299.7855153
62,1758180299.8172073
63,1758180299.85298
64,1758180299.8853648
65,1758180299.9197595
66,1758180299.953576
67,1758180299.9856825
68,1758180300.0173416
69,1758180300.0529494
70,1758180300.085418
71,1758180300.1171508
72,1758180300.1542013
73,1758180300.1854765
74,1758180300.2208788
75,1758180300.253124
76,1758180300.2872605
77,1758180300.3173594
78,1758180300.3529224
79,1758180300.3854818
80,1758180300.4236789
81,1758180300.4529748
82,1758180300.485358
83,1758180300.521108
84,1758180300.553107
85,1758180300.5854988
86,1758180300.6211312
87,1758180300.6531382
88,1758180300.6854372
89,1758180300.7211316
90,1758180300.7531357
91,1758180300.7864413
92,1758180300.821936
93,1758180300.853396
94,1758180300.885546
95,1758180300.9212499
96,1758180300.9550323
97,1758180300.9861233
98,1758180301.024211
99,1758180301.0557928
100,1758180301.0866225
101,1758180301.121626
102,1758180301.1536553
103,1758180301.1853416
104,1758180301.2236464
105,1758180301.2559717
106,1758180301.285959
107,1758180301.3216586
108,1758180301.3532214
109,1758180301.3854315
110,1758180301.4222448
111,1758180301.4542644
112,1758180301.485806
113,1758180301.521776
114,1758180301.553238
115,1758180301.585939
116,1758180301.6213171
117,1758180301.6534882
118,1758180301.6860342
119,1758180301.7233896
120,1758180301.7532618
121,1758180301.7854254
122,1758180301.8211026
123,1758180301.8536549
124,1758180301.8905275
125,1758180301.920827
126,1758180301.953688
127,1758180301.9891286
128,1758180302.0228007
129,1758180302.053217
130,1758180302.08938
131,1758180302.1212444
132,1758180302.1534328
133,1758180302.189506
134,1758180302.2216225
135,1758180302.2531807
136,1758180302.2894557
137,1758180302.3219075
138,1758180302.353343
139,1758180302.3896024
140,1758180302.4236941
141,1758180302.453459
142,1758180302.4895468
143,1758180302.5214715
144,1758180302.553469
145,1758180302.5899246
146,1758180302.623142
147,1758180302.6535308
148,1758180302.6899943
149,1758180302.7213938
150,1758180302.7540543
151,1758180302.789938
152,1758180302.8213587
153,1758180302.8541338
154,1758180302.889521
155,1758180302.9237945
156,1758180302.9543355
157,1758180302.9893212
158,1758180303.0213542
159,1758180303.0539057
160,1758180303.0897532
161,1758180303.1218967
162,1758180303.1540189
163,1758180303.1895459
164,1758180303.222495
165,1758180303.2539823
166,1758180303.2896018
167,1758180303.321354
168,1758180303.3577766
169,1758180303.3901172
170,1758180303.421715
171,1758180303.4579592
172,1758180303.4898965
173,1758180303.5223353
174,1758180303.5578892
175,1758180303.5896192
176,1758180303.621327
177,1758180303.6576338
178,1758180303.692697
179,1758180303.72184
180,1758180303.7577455
181,1758180303.7899294
182,1758180303.824381
183,1758180303.8575583
184,1758180303.8898158
185,1758180303.921692
186,1758180303.9600167
187,1758180303.9898808
188,1758180304.021697
189,1758180304.0575998
190,1758180304.0897055
191,1758180304.1217468
192,1758180304.157601
193,1758180304.1898901
194,1758180304.221759
195,1758180304.2576911
196,1758180304.2899177
197,1758180304.3217754
198,1758180304.3576734
199,1758180304.3905978
200,1758180304.423831
201,1758180304.4576914
202,1758180304.4900227
203,1758180304.5254838
204,1758180304.5581276
205,1758180304.592749
206,1758180304.6226306
207,1758180304.6578693
208,1758180304.6898875
209,1758180304.7245965
210,1758180304.757743
211,1758180304.7899947
212,1758180304.8218446
213,1758180304.8578782
214,1758180304.889778
215,1758180304.9258187
216,1758180304.9577048
217,1758180304.9899468
218,1758180305.0261226
219,1758180305.057811
220,1758180305.0899928
221,1758180305.1259978
222,1758180305.1577828
223,1758180305.1926785
224,1758180305.228241
225,1758180305.2580824
226,1758180305.2900908
227,1758180305.3284955
228,1758180305.3582282
229,1758180305.3937244
230,1758180305.4261925
231,1758180305.458033
232,1758180305.4900844
233,1758180305.5264328
234,1758180305.5582917
235,1758180305.5901427
236,1758180305.6267052
237,1758180305.6608994
238,1758180305.6900327
239,1758180305.7266297
240,1758180305.7586796
241,1758180305.7898881
242,1758180305.8278058
243,1758180305.8581104
244,1758180305.8899832
245,1758180305.926954
246,1758180305.960828
247,1758180305.9899225
248,1758180306.026993
249,1758180306.0582404
250,1758180306.0904562
251,1758180306.1272664
252,1758180306.1580791
253,1758180306.1903424
254,1758180306.2266362
255,1758180306.2580342
256,1758180306.2908425
257,1758180306.3287852
258,1758180306.361276
259,1758180306.3957915
260,1758180306.4258842
261,1758180306.4584358
262,1758180306.4941838
263,1758180306.5270133
264,1758180306.558613
265,1758180306.5939996
266,1758180306.6263459
267,1758180306.6581829
268,1758180306.6940334
269,1758180306.7267663
270,1758180306.758201
271,1758180306.7939947
272,1758180306.8269713
273,1758180306.8582606
274,1758180306.895875
275,1758180306.9269295
276,1758180306.9582195
277,1758180306.9940968
278,1758180307.0263414
279,1758180307.0581977
280,1758180307.0946598
281,1758180307.12748
282,1758180307.1585503
283,1758180307.1943545
284,1758180307.2268884
285,1758180307.2589746
286,1758180307.2942927
287,1758180307.3263466
288,1758180307.3584225
289,1758180307.3943455
290,1758180307.4269612
291,1758180307.4590597
292,1758180307.4944263
293,1758180307.5266662
294,1758180307.5583737
295,1758180307.5944352
296,1758180307.6266131
297,1758180307.6585424
298,1758180307.694962
299,1758180307.7267241
300,1758180307.7580173
301,1758180307.7955139
302,1758180307.826359
303,1758180307.858493
304,1758180307.8944864
305,1758180307.9262826
306,1758180307.961941
307,1758180307.9945369
308,1758180308.0268555
309,1758180308.0618505
310,1758180308.094358
311,1758180308.1262207
312,1758180308.1621625
313,1758180308.1955228
314,1758180308.226561
315,1758180308.2628338
316,1758180308.2947938
317,1758180308.3353593
318,1758180308.3684697
319,1758180308.3999705
320,1758180308.4304345
321,1758180308.4621983
322,1758180308.4943283
323,1758180308.5264177
