timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z
1758878242.4425285,-0.6708984375,-0.09423828125,0.7490234375,2.01416015625,1.15966796875,-1.5869140625,-8.514404296875,46.0272216796875,116.9659423828125
1758878242.4546869,-0.66162109375,-0.080078125,0.75390625,-0.54931640625,1.64794921875,-2.13623046875,-8.5418701171875,46.03271484375,116.9219970703125
1758878242.4659886,-0.66162109375,-0.080078125,0.75390625,-0.54931640625,1.64794921875,-2.13623046875,-8.5693359375,46.0382080078125,116.883544921875
1758878242.480164,-0.67041015625,-0.08740234375,0.73779296875,-2.44140625,1.220703125,-2.8076171875,-8.6187744140625,46.03271484375,116.82861328125
1758878242.4918377,-0.67041015625,-0.08740234375,0.73779296875,-2.44140625,1.220703125,-2.8076171875,-8.668212890625,46.0272216796875,116.773681640625
1758878242.5007353,-0.6806640625,-0.087890625,0.72265625,-5.7373046875,0.1220703125,-3.5400390625,-8.756103515625,46.0052490234375,116.7132568359375
1758878242.5095942,-0.6806640625,-0.087890625,0.72265625,-5.7373046875,0.1220703125,-3.5400390625,-8.843994140625,45.98876953125,116.65283203125
1758878242.5180116,-0.7080078125,-0.0908203125,0.7109375,-7.26318359375,-0.42724609375,-4.5166015625,-8.953857421875,45.9613037109375,116.5814208984375
1758878242.5261712,-0.7080078125,-0.0908203125,0.7109375,-7.26318359375,-0.42724609375,-4.5166015625,-9.063720703125,45.9393310546875,116.5045166015625
1758878242.5324454,-0.72216796875,-0.09228515625,0.68408203125,-8.1787109375,-1.03759765625,-5.859375,-9.1900634765625,45.9063720703125,116.4166259765625
1758878242.538428,-0.72216796875,-0.09228515625,0.68408203125,-8.1787109375,-1.03759765625,-5.859375,-9.3218994140625,45.87890625,116.3287353515625
1758878242.5482795,-0.7490234375,-0.087890625,0.654296875,-7.87353515625,-1.64794921875,-7.38525390625,-9.459228515625,45.8404541015625,116.2188720703125
1758878242.5583029,-0.7490234375,-0.087890625,0.654296875,-7.87353515625,-1.64794921875,-7.38525390625,-9.5965576171875,45.8074951171875,116.114501953125
1758878242.568307,-0.7646484375,-0.1015625,0.61865234375,-10.07080078125,-1.5869140625,-7.87353515625,-9.7613525390625,45.780029296875,116.004638671875
1758878242.5783842,-0.7646484375,-0.1015625,0.61865234375,-10.07080078125,-1.5869140625,-7.87353515625,-9.931640625,45.7525634765625,115.894775390625
1758878242.588331,-0.771484375,-0.11767578125,0.6171875,-12.39013671875,-0.30517578125,-7.99560546875,-10.118408203125,45.736083984375,115.784912109375
1758878242.598339,-0.771484375,-0.11767578125,0.6171875,-12.39013671875,-0.30517578125,-7.99560546875,-10.3106689453125,45.72509765625,115.675048828125
1758878242.6085134,-0.73828125,-0.16357421875,0.6513671875,-7.9345703125,0.3662109375,-7.568359375,-10.458984375,45.72509765625,115.5706787109375
1758878242.6184018,-0.73828125,-0.16357421875,0.6513671875,-7.9345703125,0.3662109375,-7.568359375,-10.6072998046875,45.72509765625,115.46630859375
1758878242.6285021,-0.732421875,-0.173828125,0.66552734375,-1.220703125,0.0,-7.568359375,-10.689697265625,45.7196044921875,115.3619384765625
1758878242.6384172,-0.732421875,-0.173828125,0.66552734375,-1.220703125,0.0,-7.568359375,-10.777587890625,45.714111328125,115.2630615234375
1758878242.6484137,-0.72412109375,-0.14697265625,0.66455078125,3.90625,-0.1220703125,-7.4462890625,-10.810546875,45.703125,115.15869140625
1758878242.6584384,-0.72412109375,-0.14697265625,0.66455078125,3.90625,-0.1220703125,-7.4462890625,-10.8489990234375,45.6976318359375,115.0543212890625
1758878242.6684248,-0.7177734375,-0.13427734375,0.67529296875,4.638671875,-0.6103515625,-7.01904296875,-10.8709716796875,45.6866455078125,114.9609375
